Notes,State of Residence,County of Residence,Year,Births,% of Total Births
Total,North Carolina,"Mecklenburg County, NC",,58685,0.38%
,North Carolina,"New Hanover County, NC",2016,2241,0.01%
,North Carolina,"New Hanover County, NC",2017,2267,0.01%
,North Carolina,"New Hanover County, NC",2018,2145,0.01%
,North Carolina,"New Hanover County, NC",2019,2172,0.01%
Total,North Carolina,"New Hanover County, NC",,8825,0.06%
,North Carolina,"Onslow County, NC",2016,3960,0.03%
,North Carolina,"Onslow County, NC",2017,4061,0.03%
,North Carolina,"Onslow County, NC",2018,3923,0.03%
,North Carolina,"Onslow County, NC",2019,3820,0.02%
Total,North Carolina,"Onslow County, NC",,15764,0.10%
,North Carolina,"Orange County, NC",2016,1166,0.01%
,North Carolina,"Orange County, NC",2017,1179,0.01%
,North Carolina,"Orange County, NC",2018,1134,0.01%
,North Carolina,"Orange County, NC",2019,1163,0.01%
Total,North Carolina,"Orange County, NC",,4642,0.03%
,North Carolina,"Pitt County, NC",2016,2023,0.01%
,North Carolina,"Pitt County, NC",2017,2051,0.01%
,North Carolina,"Pitt County, NC",2018,2085,0.01%
,North Carolina,"Pitt County, NC",2019,2079,0.01%
Total,North Carolina,"Pitt County, NC",,8238,0.05%
,North Carolina,"Randolph County, NC",2016,1600,0.01%
,North Carolina,"Randolph County, NC",2017,1576,0.01%
,North Carolina,"Randolph County, NC",2018,1520,0.01%
,North Carolina,"Randolph County, NC",2019,1546,0.01%
Total,North Carolina,"Randolph County, NC",,6242,0.04%
,North Carolina,"Robeson County, NC",2016,1775,0.01%
,North Carolina,"Robeson County, NC",2017,1782,0.01%
,North Carolina,"Robeson County, NC",2018,1699,0.01%
,North Carolina,"Robeson County, NC",2019,1731,0.01%
Total,North Carolina,"Robeson County, NC",,6987,0.05%
,North Carolina,"Rowan County, NC",2016,1651,0.01%
,North Carolina,"Rowan County, NC",2017,1587,0.01%
,North Carolina,"Rowan County, NC",2018,1593,0.01%
,North Carolina,"Rowan County, NC",2019,1548,0.01%
Total,North Carolina,"Rowan County, NC",,6379,0.04%
,North Carolina,"Union County, NC",2016,2415,0.02%
,North Carolina,"Union County, NC",2017,2382,0.02%
,North Carolina,"Union County, NC",2018,2456,0.02%
,North Carolina,"Union County, NC",2019,2278,0.01%
Total,North Carolina,"Union County, NC",,9531,0.06%
,North Carolina,"Wake County, NC",2016,13018,0.08%
,North Carolina,"Wake County, NC",2017,12682,0.08%
,North Carolina,"Wake County, NC",2018,12578,0.08%
,North Carolina,"Wake County, NC",2019,12688,0.08%
Total,North Carolina,"Wake County, NC",,50966,0.33%
,North Carolina,"Wayne County, NC",2016,1636,0.01%
,North Carolina,"Wayne County, NC",2017,1611,0.01%
,North Carolina,"Wayne County, NC",2018,1639,0.01%
,North Carolina,"Wayne County, NC",2019,1619,0.01%
Total,North Carolina,"Wayne County, NC",,6505,0.04%
,North Carolina,"Unidentified Counties, NC",2016,31354,0.20%
,North Carolina,"Unidentified Counties, NC",2017,31498,0.21%
,North Carolina,"Unidentified Counties, NC",2018,31164,0.20%
,North Carolina,"Unidentified Counties, NC",2019,31049,0.20%
Total,North Carolina,"Unidentified Counties, NC",,125065,0.82%
Total,North Carolina,,,478583,3.12%
,North Dakota,"Cass County, ND",2016,2639,0.02%
,North Dakota,"Cass County, ND",2017,2534,0.02%
,North Dakota,"Cass County, ND",2018,2453,0.02%
,North Dakota,"Cass County, ND",2019,2444,0.02%
Total,North Dakota,"Cass County, ND",,10070,0.07%
,North Dakota,"Unidentified Counties, ND",2016,8744,0.06%
,North Dakota,"Unidentified Counties, ND",2017,8203,0.05%
,North Dakota,"Unidentified Counties, ND",2018,8183,0.05%
,North Dakota,"Unidentified Counties, ND",2019,8010,0.05%
Total,North Dakota,"Unidentified Counties, ND",,33140,0.22%
Total,North Dakota,,,43210,0.28%
,Ohio,"Allen County, OH",2016,1257,0.01%
,Ohio,"Allen County, OH",2017,1244,0.01%
,Ohio,"Allen County, OH",2018,1248,0.01%
,Ohio,"Allen County, OH",2019,1268,0.01%
Total,Ohio,"Allen County, OH",,5017,0.03%
,Ohio,"Ashtabula County, OH",2016,1075,0.01%
,Ohio,"Ashtabula County, OH",2017,1149,0.01%
,Ohio,"Ashtabula County, OH",2018,1108,0.01%
,Ohio,"Ashtabula County, OH",2019,1085,0.01%
Total,Ohio,"Ashtabula County, OH",,4417,0.03%
,Ohio,"Butler County, OH",2016,4452,0.03%
,Ohio,"Butler County, OH",2017,4466,0.03%
,Ohio,"Butler County, OH",2018,4472,0.03%
,Ohio,"Butler County, OH",2019,4446,0.03%
Total,Ohio,"Butler County, OH",,17836,0.12%
,Ohio,"Clark County, OH",2016,1532,0.01%
,Ohio,"Clark County, OH",2017,1614,0.01%
,Ohio,"Clark County, OH",2018,1552,0.01%
,Ohio,"Clark County, OH",2019,1572,0.01%
Total,Ohio,"Clark County, OH",,6270,0.04%
,Ohio,"Clermont County, OH",2016,2293,0.01%
,Ohio,"Clermont County, OH",2017,2311,0.02%
,Ohio,"Clermont County, OH",2018,2310,0.02%
,Ohio,"Clermont County, OH",2019,2234,0.01%
Total,Ohio,"Clermont County, OH",,9148,0.06%
,Ohio,"Columbiana County, OH",2016,1070,0.01%
,Ohio,"Columbiana County, OH",2017,1025,0.01%
,Ohio,"Columbiana County, OH",2018,982,0.01%
,Ohio,"Columbiana County, OH",2019,1020,0.01%
Total,Ohio,"Columbiana County, OH",,4097,0.03%
,Ohio,"Cuyahoga County, OH",2016,14758,0.10%
,Ohio,"Cuyahoga County, OH",2017,14550,0.09%
,Ohio,"Cuyahoga County, OH",2018,13870,0.09%
,Ohio,"Cuyahoga County, OH",2019,13935,0.09%
Total,Ohio,"Cuyahoga County, OH",,57113,0.37%
,Ohio,"Delaware County, OH",2016,2079,0.01%
,Ohio,"Delaware County, OH",2017,2074,0.01%
,Ohio,"Delaware County, OH",2018,2106,0.01%
,Ohio,"Delaware County, OH",2019,2120,0.01%
Total,Ohio,"Delaware County, OH",,8379,0.05%
,Ohio,"Fairfield County, OH",2016,1629,0.01%
,Ohio,"Fairfield County, OH",2017,1755,0.01%
,Ohio,"Fairfield County, OH",2018,1669,0.01%
,Ohio,"Fairfield County, OH",2019,1733,0.01%
Total,Ohio,"Fairfield County, OH",,6786,0.04%
,Ohio,"Franklin County, OH",2016,19045,0.12%
,Ohio,"Franklin County, OH",2017,18886,0.12%
,Ohio,"Franklin County, OH",2018,18338,0.12%
,Ohio,"Franklin County, OH",2019,18400,0.12%
Total,Ohio,"Franklin County, OH",,74669,0.49%
,Ohio,"Greene County, OH",2016,1808,0.01%
,Ohio,"Greene County, OH",2017,1744,0.01%
,Ohio,"Greene County, OH",2018,1720,0.01%
,Ohio,"Greene County, OH",2019,1739,0.01%
Total,Ohio,"Greene County, OH",,7011,0.05%
,Ohio,"Hamilton County, OH",2016,10820,0.07%
,Ohio,"Hamilton County, OH",2017,10833,0.07%
,Ohio,"Hamilton County, OH",2018,10835,0.07%
,Ohio,"Hamilton County, OH",2019,10676,0.07%
Total,Ohio,"Hamilton County, OH",,43164,0.28%
,Ohio,"Lake County, OH",2016,2163,0.01%
,Ohio,"Lake County, OH",2017,2198,0.01%
,Ohio,"Lake County, OH",2018,2212,0.01%
,Ohio,"Lake County, OH",2019,2181,0.01%
Total,Ohio,"Lake County, OH",,8754,0.06%
,Ohio,"Licking County, OH",2016,2075,0.01%
,Ohio,"Licking County, OH",2017,1866,0.01%
,Ohio,"Licking County, OH",2018,1991,0.01%
,Ohio,"Licking County, OH",2019,1989,0.01%
Total,Ohio,"Licking County, OH",,7921,0.05%
,Ohio,"Lorain County, OH",2016,3295,0.02%
,Ohio,"Lorain County, OH",2017,3183,0.02%
,Ohio,"Lorain County, OH",2018,3199,0.02%
,Ohio,"Lorain County, OH",2019,3256,0.02%
Total,Ohio,"Lorain County, OH",,12933,0.08%
,Ohio,"Lucas County, OH",2016,5627,0.04%
,Ohio,"Lucas County, OH",2017,5445,0.04%
,Ohio,"Lucas County, OH",2018,5418,0.04%
,Ohio,"Lucas County, OH",2019,5229,0.03%
Total,Ohio,"Lucas County, OH",,21719,0.14%
,Ohio,"Mahoning County, OH",2016,2506,0.02%
,Ohio,"Mahoning County, OH",2017,2458,0.02%
,Ohio,"Mahoning County, OH",2018,2344,0.02%
,Ohio,"Mahoning County, OH",2019,2434,0.02%
Total,Ohio,"Mahoning County, OH",,9742,0.06%
,Ohio,"Medina County, OH",2016,1816,0.01%
,Ohio,"Medina County, OH",2017,1720,0.01%
,Ohio,"Medina County, OH",2018,1675,0.01%
,Ohio,"Medina County, OH",2019,1688,0.01%
Total,Ohio,"Medina County, OH",,6899,0.04%
,Ohio,"Miami County, OH",2016,1227,0.01%
,Ohio,"Miami County, OH",2017,1154,0.01%
,Ohio,"Miami County, OH",2018,1180,0.01%
,Ohio,"Miami County, OH",2019,1238,0.01%
Total,Ohio,"Miami County, OH",,4799,0.03%
,Ohio,"Montgomery County, OH",2016,6631,0.04%
,Ohio,"Montgomery County, OH",2017,6730,0.04%
,Ohio,"Montgomery County, OH",2018,6480,0.04%
,Ohio,"Montgomery County, OH",2019,6395,0.04%
Total,Ohio,"Montgomery County, OH",,26236,0.17%
,Ohio,"Portage County, OH",2016,1441,0.01%
,Ohio,"Portage County, OH",2017,1351,0.01%
,Ohio,"Portage County, OH",2018,1392,0.01%
,Ohio,"Portage County, OH",2019,1355,0.01%
Total,Ohio,"Portage County, OH",,5539,0.04%
,Ohio,"Richland County, OH",2016,1328,0.01%
,Ohio,"Richland County, OH",2017,1317,0.01%
,Ohio,"Richland County, OH",2018,1353,0.01%
,Ohio,"Richland County, OH",2019,1423,0.01%
Total,Ohio,"Richland County, OH",,5421,0.04%
,Ohio,"Stark County, OH",2016,4236,0.03%
,Ohio,"Stark County, OH",2017,4025,0.03%
,Ohio,"Stark County, OH",2018,4075,0.03%
,Ohio,"Stark County, OH",2019,4108,0.03%
Total,Ohio,"Stark County, OH",,16444,0.11%
,Ohio,"Summit County, OH",2016,5996,0.04%
,Ohio,"Summit County, OH",2017,5904,0.04%
,Ohio,"Summit County, OH",2018,5934,0.04%
,Ohio,"Summit County, OH",2019,5838,0.04%
Total,Ohio,"Summit County, OH",,23672,0.15%
,Ohio,"Trumbull County, OH",2016,2101,0.01%
,Ohio,"Trumbull County, OH",2017,2107,0.01%
,Ohio,"Trumbull County, OH",2018,2069,0.01%
,Ohio,"Trumbull County, OH",2019,2150,0.01%
Total,Ohio,"Trumbull County, OH",,8427,0.05%
,Ohio,"Warren County, OH",2016,2400,0.02%
,Ohio,"Warren County, OH",2017,2262,0.01%
,Ohio,"Warren County, OH",2018,2306,0.02%
,Ohio,"Warren County, OH",2019,2401,0.02%
Total,Ohio,"Warren County, OH",,9369,0.06%
,Ohio,"Wayne County, OH",2016,1487,0.01%
,Ohio,"Wayne County, OH",2017,1502,0.01%
,Ohio,"Wayne County, OH",2018,1447,0.01%
,Ohio,"Wayne County, OH",2019,1442,0.01%
Total,Ohio,"Wayne County, OH",,5878,0.04%
,Ohio,"Wood County, OH",2016,1365,0.01%
,Ohio,"Wood County, OH",2017,1401,0.01%
,Ohio,"Wood County, OH",2018,1267,0.01%
,Ohio,"Wood County, OH",2019,1281,0.01%
Total,Ohio,"Wood County, OH",,5314,0.03%
,Ohio,"Unidentified Counties, OH",2016,30573,0.20%
,Ohio,"Unidentified Counties, OH",2017,30558,0.20%
,Ohio,"Unidentified Counties, OH",2018,30582,0.20%
,Ohio,"Unidentified Counties, OH",2019,29825,0.19%
Total,Ohio,"Unidentified Counties, OH",,121538,0.79%
Total,Ohio,,,544512,3.55%
,Oklahoma,"Canadian County, OK",2016,1781,0.01%
,Oklahoma,"Canadian County, OK",2017,1763,0.01%
,Oklahoma,"Canadian County, OK",2018,1864,0.01%
,Oklahoma,"Canadian County, OK",2019,1754,0.01%
Total,Oklahoma,"Canadian County, OK",,7162,0.05%
,Oklahoma,"Cleveland County, OK",2016,3016,0.02%
,Oklahoma,"Cleveland County, OK",2017,2781,0.02%
,Oklahoma,"Cleveland County, OK",2018,2833,0.02%
,Oklahoma,"Cleveland County, OK",2019,2811,0.02%
Total,Oklahoma,"Cleveland County, OK",,11441,0.07%
,Oklahoma,"Comanche County, OK",2016,1757,0.01%
,Oklahoma,"Comanche County, OK",2017,1735,0.01%
,Oklahoma,"Comanche County, OK",2018,1681,0.01%
,Oklahoma,"Comanche County, OK",2019,1725,0.01%
Total,Oklahoma,"Comanche County, OK",,6898,0.04%
,Oklahoma,"Oklahoma County, OK",2016,12197,0.08%
,Oklahoma,"Oklahoma County, OK",2017,11554,0.08%
,Oklahoma,"Oklahoma County, OK",2018,11255,0.07%
,Oklahoma,"Oklahoma County, OK",2019,11320,0.07%
Total,Oklahoma,"Oklahoma County, OK",,46326,0.30%
,Oklahoma,"Tulsa County, OK",2016,9639,0.06%
,Oklahoma,"Tulsa County, OK",2017,9120,0.06%
,Oklahoma,"Tulsa County, OK",2018,8933,0.06%
,Oklahoma,"Tulsa County, OK",2019,8866,0.06%
Total,Oklahoma,"Tulsa County, OK",,36558,0.24%
,Oklahoma,"Unidentified Counties, OK",2016,24202,0.16%
,Oklahoma,"Unidentified Counties, OK",2017,23261,0.15%
,Oklahoma,"Unidentified Counties, OK",2018,23234,0.15%
,Oklahoma,"Unidentified Counties, OK",2019,22667,0.15%
Total,Oklahoma,"Unidentified Counties, OK",,93364,0.61%
Total,Oklahoma,,,201749,1.32%
,Oregon,"Clackamas County, OR",2016,4199,0.03%
,Oregon,"Clackamas County, OR",2017,3999,0.03%
,Oregon,"Clackamas County, OR",2018,3886,0.03%
,Oregon,"Clackamas County, OR",2019,3798,0.02%
Total,Oregon,"Clackamas County, OR",,15882,0.10%
,Oregon,"Deschutes County, OR",2016,1806,0.01%
,Oregon,"Deschutes County, OR",2017,1808,0.01%
,Oregon,"Deschutes County, OR",2018,1827,0.01%
,Oregon,"Deschutes County, OR",2019,1828,0.01%
Total,Oregon,"Deschutes County, OR",,7269,0.05%
,Oregon,"Douglas County, OR",2016,1087,0.01%
,Oregon,"Douglas County, OR",2017,1068,0.01%
,Oregon,"Douglas County, OR",2018,1054,0.01%
,Oregon,"Douglas County, OR",2019,1038,0.01%
Total,Oregon,"Douglas County, OR",,4247,0.03%
,Oregon,"Jackson County, OR",2016,2294,0.01%
,Oregon,"Jackson County, OR",2017,2252,0.01%
,Oregon,"Jackson County, OR",2018,2199,0.01%
,Oregon,"Jackson County, OR",2019,2138,0.01%
Total,Oregon,"Jackson County, OR",,8883,0.06%
,Oregon,"Lane County, OR",2016,3554,0.02%
,Oregon,"Lane County, OR",2017,3459,0.02%
,Oregon,"Lane County, OR",2018,3327,0.02%
,Oregon,"Lane County, OR",2019,3268,0.02%
Total,Oregon,"Lane County, OR",,13608,0.09%
,Oregon,"Linn County, OR",2016,1521,0.01%
,Oregon,"Linn County, OR",2017,1456,0.01%
,Oregon,"Linn County, OR",2018,1518,0.01%
,Oregon,"Linn County, OR",2019,1453,0.01%
Total,Oregon,"Linn County, OR",,5948,0.04%
,Oregon,"Marion County, OR",2016,4539,0.03%
,Oregon,"Marion County, OR",2017,4467,0.03%
,Oregon,"Marion County, OR",2018,4183,0.03%
,Oregon,"Marion County, OR",2019,4114,0.03%
Total,Oregon,"Marion County, OR",,17303,0.11%
,Oregon,"Multnomah County, OR",2016,9081,0.06%
,Oregon,"Multnomah County, OR",2017,8573,0.06%
,Oregon,"Multnomah County, OR",2018,8211,0.05%
,Oregon,"Multnomah County, OR",2019,8083,0.05%
Total,Oregon,"Multnomah County, OR",,33948,0.22%
,Oregon,"Washington County, OR",2016,6983,0.05%
,Oregon,"Washington County, OR",2017,6570,0.04%
,Oregon,"Washington County, OR",2018,6425,0.04%
,Oregon,"Washington County, OR",2019,6345,0.04%
Total,Oregon,"Washington County, OR",,26323,0.17%
,Oregon,"Unidentified Counties, OR",2016,10471,0.07%
,Oregon,"Unidentified Counties, OR",2017,9979,0.07%
,Oregon,"Unidentified Counties, OR",2018,9558,0.06%
,Oregon,"Unidentified Counties, OR",2019,9793,0.06%
Total,Oregon,"Unidentified Counties, OR",,39801,0.26%
Total,Oregon,,,173212,1.13%
,Pennsylvania,"Adams County, PA",2016,922,0.01%
,Pennsylvania,"Adams County, PA",2017,972,0.01%
,Pennsylvania,"Adams County, PA",2018,916,0.01%
,Pennsylvania,"Adams County, PA",2019,892,0.01%
Total,Pennsylvania,"Adams County, PA",,3702,0.02%
,Pennsylvania,"Allegheny County, PA",2016,13164,0.09%
,Pennsylvania,"Allegheny County, PA",2017,12882,0.08%
,Pennsylvania,"Allegheny County, PA",2018,12822,0.08%
,Pennsylvania,"Allegheny County, PA",2019,12819,0.08%
Total,Pennsylvania,"Allegheny County, PA",,51687,0.34%
,Pennsylvania,"Beaver County, PA",2016,1676,0.01%
,Pennsylvania,"Beaver County, PA",2017,1561,0.01%
,Pennsylvania,"Beaver County, PA",2018,1575,0.01%
,Pennsylvania,"Beaver County, PA",2019,1542,0.01%
Total,Pennsylvania,"Beaver County, PA",,6354,0.04%
,Pennsylvania,"Berks County, PA",2016,4786,0.03%
,Pennsylvania,"Berks County, PA",2017,4719,0.03%
,Pennsylvania,"Berks County, PA",2018,4602,0.03%
,Pennsylvania,"Berks County, PA",2019,4707,0.03%
Total,Pennsylvania,"Berks County, PA",,18814,0.12%
,Pennsylvania,"Blair County, PA",2016,1270,0.01%
,Pennsylvania,"Blair County, PA",2017,1205,0.01%
,Pennsylvania,"Blair County, PA",2018,1206,0.01%
,Pennsylvania,"Blair County, PA",2019,1197,0.01%
Total,Pennsylvania,"Blair County, PA",,4878,0.03%
,Pennsylvania,"Bucks County, PA",2016,5958,0.04%
,Pennsylvania,"Bucks County, PA",2017,5775,0.04%
,Pennsylvania,"Bucks County, PA",2018,5714,0.04%
,Pennsylvania,"Bucks County, PA",2019,5608,0.04%
Total,Pennsylvania,"Bucks County, PA",,23055,0.15%
,Pennsylvania,"Butler County, PA",2016,1833,0.01%
,Pennsylvania,"Butler County, PA",2017,1742,0.01%
,Pennsylvania,"Butler County, PA",2018,1809,0.01%
,Pennsylvania,"Butler County, PA",2019,1645,0.01%
Total,Pennsylvania,"Butler County, PA",,7029,0.05%
,Pennsylvania,"Cambria County, PA",2016,1357,0.01%
,Pennsylvania,"Cambria County, PA",2017,1271,0.01%
,Pennsylvania,"Cambria County, PA",2018,1219,0.01%
,Pennsylvania,"Cambria County, PA",2019,1238,0.01%
Total,Pennsylvania,"Cambria County, PA",,5085,0.03%
,Pennsylvania,"Centre County, PA",2016,1208,0.01%
,Pennsylvania,"Centre County, PA",2017,1171,0.01%
,Pennsylvania,"Centre County, PA",2018,1171,0.01%
,Pennsylvania,"Centre County, PA",2019,1082,0.01%
Total,Pennsylvania,"Centre County, PA",,4632,0.03%
,Pennsylvania,"Chester County, PA",2016,5325,0.03%
,Pennsylvania,"Chester County, PA",2017,5323,0.03%
,Pennsylvania,"Chester County, PA",2018,5370,0.04%
,Pennsylvania,"Chester County, PA",2019,5329,0.03%
Total,Pennsylvania,"Chester County, PA",,21347,0.14%
,Pennsylvania,"Cumberland County, PA",2016,2683,0.02%
,Pennsylvania,"Cumberland County, PA",2017,2612,0.02%
,Pennsylvania,"Cumberland County, PA",2018,2597,0.02%
,Pennsylvania,"Cumberland County, PA",2019,2597,0.02%
Total,Pennsylvania,"Cumberland County, PA",,10489,0.07%
,Pennsylvania,"Dauphin County, PA",2016,3437,0.02%
,Pennsylvania,"Dauphin County, PA",2017,3404,0.02%
,Pennsylvania,"Dauphin County, PA",2018,3397,0.02%
,Pennsylvania,"Dauphin County, PA",2019,3273,0.02%
Total,Pennsylvania,"Dauphin County, PA",,13511,0.09%
,Pennsylvania,"Delaware County, PA",2016,6575,0.04%
,Pennsylvania,"Delaware County, PA",2017,6576,0.04%
,Pennsylvania,"Delaware County, PA",2018,6453,0.04%
,Pennsylvania,"Delaware County, PA",2019,6328,0.04%
Total,Pennsylvania,"Delaware County, PA",,25932,0.17%
,Pennsylvania,"Erie County, PA",2016,3064,0.02%
,Pennsylvania,"Erie County, PA",2017,2994,0.02%
,Pennsylvania,"Erie County, PA",2018,2788,0.02%
,Pennsylvania,"Erie County, PA",2019,2782,0.02%
Total,Pennsylvania,"Erie County, PA",,11628,0.08%
,Pennsylvania,"Fayette County, PA",2016,1351,0.01%
,Pennsylvania,"Fayette County, PA",2017,1296,0.01%
,Pennsylvania,"Fayette County, PA",2018,1326,0.01%
,Pennsylvania,"Fayette County, PA",2019,1233,0.01%
Total,Pennsylvania,"Fayette County, PA",,5206,0.03%
,Pennsylvania,"Franklin County, PA",2016,1875,0.01%
,Pennsylvania,"Franklin County, PA",2017,1786,0.01%
,Pennsylvania,"Franklin County, PA",2018,1745,0.01%
,Pennsylvania,"Franklin County, PA",2019,1745,0.01%
Total,Pennsylvania,"Franklin County, PA",,7151,0.05%
,Pennsylvania,"Lackawanna County, PA",2016,2246,0.01%
,Pennsylvania,"Lackawanna County, PA",2017,2076,0.01%
,Pennsylvania,"Lackawanna County, PA",2018,2033,0.01%
,Pennsylvania,"Lackawanna County, PA",2019,2058,0.01%
Total,Pennsylvania,"Lackawanna County, PA",,8413,0.05%
,Pennsylvania,"Lancaster County, PA",2016,7000,0.05%
,Pennsylvania,"Lancaster County, PA",2017,7258,0.05%
,Pennsylvania,"Lancaster County, PA",2018,6975,0.05%
,Pennsylvania,"Lancaster County, PA",2019,6899,0.04%
Total,Pennsylvania,"Lancaster County, PA",,28132,0.18%
,Pennsylvania,"Lebanon County, PA",2016,1592,0.01%
,Pennsylvania,"Lebanon County, PA",2017,1581,0.01%
,Pennsylvania,"Lebanon County, PA",2018,1562,0.01%
,Pennsylvania,"Lebanon County, PA",2019,1595,0.01%
Total,Pennsylvania,"Lebanon County, PA",,6330,0.04%
,Pennsylvania,"Lehigh County, PA",2016,4253,0.03%
,Pennsylvania,"Lehigh County, PA",2017,4291,0.03%
,Pennsylvania,"Lehigh County, PA",2018,4352,0.03%
,Pennsylvania,"Lehigh County, PA",2019,4282,0.03%
Total,Pennsylvania,"Lehigh County, PA",,17178,0.11%
,Pennsylvania,"Luzerne County, PA",2016,3193,0.02%
,Pennsylvania,"Luzerne County, PA",2017,3284,0.02%
,Pennsylvania,"Luzerne County, PA",2018,3310,0.02%
,Pennsylvania,"Luzerne County, PA",2019,3255,0.02%
Total,Pennsylvania,"Luzerne County, PA",,13042,0.09%
,Pennsylvania,"Lycoming County, PA",2016,1222,0.01%
,Pennsylvania,"Lycoming County, PA",2017,1174,0.01%
,Pennsylvania,"Lycoming County, PA",2018,1202,0.01%
,Pennsylvania,"Lycoming County, PA",2019,1187,0.01%
Total,Pennsylvania,"Lycoming County, PA",,4785,0.03%
,Pennsylvania,"Mercer County, PA",2016,1165,0.01%
,Pennsylvania,"Mercer County, PA",2017,1092,0.01%
,Pennsylvania,"Mercer County, PA",2018,1078,0.01%
,Pennsylvania,"Mercer County, PA",2019,1025,0.01%
Total,Pennsylvania,"Mercer County, PA",,4360,0.03%
,Pennsylvania,"Monroe County, PA",2016,1477,0.01%
,Pennsylvania,"Monroe County, PA",2017,1537,0.01%
,Pennsylvania,"Monroe County, PA",2018,1518,0.01%
,Pennsylvania,"Monroe County, PA",2019,1475,0.01%
Total,Pennsylvania,"Monroe County, PA",,6007,0.04%
,Pennsylvania,"Montgomery County, PA",2016,8695,0.06%
,Pennsylvania,"Montgomery County, PA",2017,8702,0.06%
,Pennsylvania,"Montgomery County, PA",2018,8515,0.06%
,Pennsylvania,"Montgomery County, PA",2019,8440,0.06%
Total,Pennsylvania,"Montgomery County, PA",,34352,0.22%
,Pennsylvania,"Northampton County, PA",2016,2831,0.02%
,Pennsylvania,"Northampton County, PA",2017,2789,0.02%
,Pennsylvania,"Northampton County, PA",2018,2909,0.02%
,Pennsylvania,"Northampton County, PA",2019,2782,0.02%
Total,Pennsylvania,"Northampton County, PA",,11311,0.07%
,Pennsylvania,"Philadelphia County, PA",2016,21506,0.14%
,Pennsylvania,"Philadelphia County, PA",2017,21288,0.14%
,Pennsylvania,"Philadelphia County, PA",2018,20691,0.13%
,Pennsylvania,"Philadelphia County, PA",2019,20511,0.13%
Total,Pennsylvania,"Philadelphia County, PA",,83996,0.55%
,Pennsylvania,"Schuylkill County, PA",2016,1367,0.01%
,Pennsylvania,"Schuylkill County, PA",2017,1313,0.01%
,Pennsylvania,"Schuylkill County, PA",2018,1272,0.01%
,Pennsylvania,"Schuylkill County, PA",2019,1325,0.01%
Total,Pennsylvania,"Schuylkill County, PA",,5277,0.03%
,Pennsylvania,"Washington County, PA",2016,2044,0.01%
,Pennsylvania,"Washington County, PA",2017,1967,0.01%
,Pennsylvania,"Washington County, PA",2018,2063,0.01%
,Pennsylvania,"Washington County, PA",2019,2026,0.01%
Total,Pennsylvania,"Washington County, PA",,8100,0.05%
,Pennsylvania,"Westmoreland County, PA",2016,2939,0.02%
,Pennsylvania,"Westmoreland County, PA",2017,2953,0.02%
,Pennsylvania,"Westmoreland County, PA",2018,2849,0.02%
,Pennsylvania,"Westmoreland County, PA",2019,2962,0.02%
Total,Pennsylvania,"Westmoreland County, PA",,11703,0.08%
,Pennsylvania,"York County, PA",2016,4974,0.03%
,Pennsylvania,"York County, PA",2017,4933,0.03%
,Pennsylvania,"York County, PA",2018,4707,0.03%
,Pennsylvania,"York County, PA",2019,4760,0.03%
Total,Pennsylvania,"York County, PA",,19374,0.13%
,Pennsylvania,"Unidentified Counties, PA",2016,16421,0.11%
,Pennsylvania,"Unidentified Counties, PA",2017,16218,0.11%
,Pennsylvania,"Unidentified Counties, PA",2018,15927,0.10%
,Pennsylvania,"Unidentified Counties, PA",2019,15631,0.10%
Total,Pennsylvania,"Unidentified Counties, PA",,64197,0.42%
Total,Pennsylvania,,,547057,3.57%
,Rhode Island,"Kent County, RI",2016,1565,0.01%
,Rhode Island,"Kent County, RI",2017,1552,0.01%
,Rhode Island,"Kent County, RI",2018,1502,0.01%
,Rhode Island,"Kent County, RI",2019,1450,0.01%
Total,Rhode Island,"Kent County, RI",,6069,0.04%
,Rhode Island,"Providence County, RI",2016,7275,0.05%
,Rhode Island,"Providence County, RI",2017,7173,0.05%
,Rhode Island,"Providence County, RI",2018,7119,0.05%
,Rhode Island,"Providence County, RI",2019,6956,0.05%
Total,Rhode Island,"Providence County, RI",,28523,0.19%
,Rhode Island,"Washington County, RI",2016,929,0.01%
,Rhode Island,"Washington County, RI",2017,852,0.01%
,Rhode Island,"Washington County, RI",2018,870,0.01%
,Rhode Island,"Washington County, RI",2019,821,0.01%
Total,Rhode Island,"Washington County, RI",,3472,0.02%
,Rhode Island,"Unidentified Counties, RI",2016,1029,0.01%
,Rhode Island,"Unidentified Counties, RI",2017,1061,0.01%
,Rhode Island,"Unidentified Counties, RI",2018,1015,0.01%
,Rhode Island,"Unidentified Counties, RI",2019,948,0.01%
Total,Rhode Island,"Unidentified Counties, RI",,4053,0.03%
Total,Rhode Island,,,42117,0.27%
,South Carolina,"Aiken County, SC",2016,1965,0.01%
,South Carolina,"Aiken County, SC",2017,1860,0.01%
,South Carolina,"Aiken County, SC",2018,1897,0.01%
,South Carolina,"Aiken County, SC",2019,1803,0.01%
Total,South Carolina,"Aiken County, SC",,7525,0.05%
,South Carolina,"Anderson County, SC",2016,2318,0.02%
,South Carolina,"Anderson County, SC",2017,2298,0.01%
,South Carolina,"Anderson County, SC",2018,2256,0.01%
,South Carolina,"Anderson County, SC",2019,2172,0.01%
Total,South Carolina,"Anderson County, SC",,9044,0.06%
,South Carolina,"Beaufort County, SC",2016,1958,0.01%
,South Carolina,"Beaufort County, SC",2017,2012,0.01%
,South Carolina,"Beaufort County, SC",2018,1912,0.01%
